# BAND-MAID FanClub snapshot date: 2026-04-17
Title	Category	URL	Date
今月の一曲　Song of the Month KANAMI (Feb., 2022)	Song of the Month KANAMI	https://bandmaid.tokyo/movies/69003	
One-on-one talk vol.4 "KANAMI×SAIKI"	TALKS	https://bandmaid.tokyo/movies/68568	
今月の一曲　Song of the Month KANAMI (Jan., 2022)	Song of the Month KANAMI	https://bandmaid.tokyo/movies/67906	
今月の一曲　Song of the Month MIKU KOBATO (Jan., 2022)	Song of the Month MIKU KOBATO	https://bandmaid.tokyo/movies/67905	
今月の一曲　Song of the Month SAIKI (Jan., 2022)	Song of the Month SAIKI	https://bandmaid.tokyo/movies/67815	
今月の一曲　Song of the Month MISA (Jan., 2022)	Song of the Month MISA	https://bandmaid.tokyo/movies/67814	
今月の一曲　Song of the Month AKANE (Jan., 2022)	Song of the Month AKANE	https://bandmaid.tokyo/movies/67813	
今月の一曲　Song of the Month MIKU KOBATO (Dec., 2021)	Song of the Month MIKU KOBATO	https://bandmaid.tokyo/movies/66386	
今月の一曲　Song of the Month MISA (Dec., 2021)	Song of the Month MISA	https://bandmaid.tokyo/movies/66385	
今月の一曲　Song of the Month SAIKI (Dec., 2021)	Song of the Month SAIKI	https://bandmaid.tokyo/movies/66026	
今月の一曲　Song of the Month AKANE (Dec., 2021)	Song of the Month AKANE	https://bandmaid.tokyo/movies/66027	
今月の一曲　Song of the Month KANAMI (Dec., 2021)	Song of the Month KANAMI	https://bandmaid.tokyo/movies/66025	
今月の一曲　Song of the Month MISA (Nov., 2021)	Song of the Month MISA	https://bandmaid.tokyo/movies/65103	
今月の一曲　Song of the Month KANAMI (Nov., 2021)	Song of the Month KANAMI	https://bandmaid.tokyo/movies/65102	
今月の一曲　Song of the Month SAIKI (Nov., 2021)	Song of the Month SAIKI	https://bandmaid.tokyo/movies/65101	
今月の一曲　Song of the Month  MIKU KOBATO (Nov., 2021)	Song of the Month MIKU KOBATO	https://bandmaid.tokyo/movies/65100	
今月の一曲　Song of the Month  AKANE (Nov., 2021)	Song of the Month MIKU KOBATO	https://bandmaid.tokyo/movies/65099	
"Sense" Making Movie	BTS	https://bandmaid.tokyo/movies/64690	
Unboxing ceremony of "Sense"	UNBOXING	https://bandmaid.tokyo/movies/64342	
One-on-one talk vol.3 "AKANE×SAIKI"	TALKS	https://bandmaid.tokyo/movies/64272	
今月の一曲　Song of the Month MISA (Oct., 2021)	Song of the Month MISA	https://bandmaid.tokyo/movies/63438	
今月の一曲　Song of the Month KANAMI (Oct., 2021)	Song of the Month KANAMI	https://bandmaid.tokyo/movies/63437	
今月の一曲　Song of the Month MIKU KOBATO (Oct., 2021)	Song of the Month MIKU KOBATO	https://bandmaid.tokyo/movies/63439	
今月の一曲　Song of the Month AKANE (Oct., 2021)	Song of the Month AKANE	https://bandmaid.tokyo/movies/63436	
今月の一曲　Song of the Month SAIKI (Oct., 2021)	Song of the Month SAIKI	https://bandmaid.tokyo/movies/63171	
今月の一曲　Song of the Month MIKU KOBATO  (Sept. 2021)	Song of the Month MIKU KOBATO	https://bandmaid.tokyo/movies/62389	
今月の一曲　Song of the Month KANAMI (Sept., 2021)	Song of the Month KANAMI	https://bandmaid.tokyo/movies/62390	
One-on-one talk vol.2 "KANAMI×MISA"	TALKS	https://bandmaid.tokyo/movies/62285	
今月の一曲　Song of the Month  AKANE (Sept., 2021)	Song of the Month MIKU KOBATO	https://bandmaid.tokyo/movies/62388	
今月の一曲　Song of the Month SAIKI (Sept., 2021)	Song of the Month SAIKI	https://bandmaid.tokyo/movies/62284	
今月の一曲　Song of the Month MISA (Sept., 2021)	Song of the Month MISA	https://bandmaid.tokyo/movies/62283	
One-on-one talk vol.1 "KOBATO×SAIKI"	TALKS	https://bandmaid.tokyo/movies/61370	
今月の一曲　Song of the Month MISA (Aug. 2021)	Song of the Month MISA	https://bandmaid.tokyo/movies/60979	
今月の一曲　Song of the Month MIKU KOBATO  (Aug. 2021)	Song of the Month MIKU KOBATO	https://bandmaid.tokyo/movies/60978	
今月の一曲　Song of the Month  KANAMI (Aug. 2021)	Song of the Month MIKU KOBATO	https://bandmaid.tokyo/movies/60688	
今月の一曲　Song of the Month  AKANE (Aug. 2021)	Song of the Month MIKU KOBATO	https://bandmaid.tokyo/movies/60687	
今月の一曲　Song of the Month  SAIKI (Aug., 2021)	Song of the Month MIKU KOBATO	https://bandmaid.tokyo/movies/60595	
RADIO FOR OMEISYUSAMA③ with English Subs	RADIO FOR OMEISYUSAMA	https://bandmaid.tokyo/movies/59898	
今月の一曲　Song of the Month SAIKI (July, 2021)	Song of the Month SAIKI	https://bandmaid.tokyo/movies/59263	
今月の一曲　Song of the Month KANAMI (July, 2021)	Song of the Month KANAMI	https://bandmaid.tokyo/movies/59261	
今月の一曲　Song of the Month MISA (July, 2021)	Song of the Month MISA	https://bandmaid.tokyo/movies/59262	
今月の一曲　Song of the Month AKANE (July, 2021)	Song of the Month AKANE	https://bandmaid.tokyo/movies/59260	
今月の一曲　Song of the Month  MIKU (July, 2021)	Song of the Month MIKU KOBATO	https://bandmaid.tokyo/movies/59137	
Super DARADARA Time (Super Lazy Time) from "BAND-MAID ONLINE OKYU-JI (Feb. 11, 2021)"	LIVE	https://bandmaid.tokyo/movies/58868	
今月の一曲　Song of the Month KANAMI (June, 2021) English ver.	Song of the Month KANAMI	https://bandmaid.tokyo/movies/58166	
今月の一曲　Song of the Month SAIKI (June, 2021)	Song of the Month SAIKI	https://bandmaid.tokyo/movies/58165	
今月の一曲　Song of the Month MISA (June, 2021)	Song of the Month MISA	https://bandmaid.tokyo/movies/58164	
BAND-MAID "THE DAY OF MAID (May 10, 2021)" Making Movie	BTS	https://bandmaid.tokyo/movies/57913	
今月の一曲　Song of the Month KANAMI (June, 2021)	Song of the Month KANAMI	https://bandmaid.tokyo/movies/57738	
RADIO FOR OMEISYUSAMA⑤	RADIO FOR OMEISYUSAMA	https://bandmaid.tokyo/movies/57853	
今月の一曲　Song of the Month AKANE (June, 2021)	Song of the Month AKANE	https://bandmaid.tokyo/movies/57737	
今月の一曲　Song of the Month MIKU KOBATO (June, 2021)	Song of the Month MIKU KOBATO	https://bandmaid.tokyo/movies/57253	
今月の一曲　Song of the Month  SAIKI	Song of the Month MIKU KOBATO	https://bandmaid.tokyo/movies/56857	
今月の一曲　Song of the Month  MISA	Song of the Month MIKU KOBATO	https://bandmaid.tokyo/movies/56856	
今月の一曲　Song of the Month  KANAMI	Song of the Month MIKU KOBATO	https://bandmaid.tokyo/movies/56854	
今月の一曲　Song of the Month  AKANE	Song of the Month MIKU KOBATO	https://bandmaid.tokyo/movies/56853	
今月の一曲　Song of the Month  MIKU	Song of the Month MIKU KOBATO	https://bandmaid.tokyo/movies/56855	
MESSAGE FROM MIKU ⑩	MESSAGE FROM MIKU KOBATO	https://bandmaid.tokyo/movies/56482	
MESSAGE FROM KANAMI ⑩	MESSAGE FROM KANAMI	https://bandmaid.tokyo/movies/56481	
MESSAGE FROM MISA ⑩	MESSAGE FROM MISA	https://bandmaid.tokyo/movies/56391	
MESSAGE FROM AKANE ⑩	MESSAGE FROM AKANE	https://bandmaid.tokyo/movies/56390	
MESSAGE FROM SAIKI ⑩	MESSAGE FROM SAIKI	https://bandmaid.tokyo/movies/56273	
SAIKI⑥【MAID'S ROOM】	MAID'S ROOM SAIKI	https://bandmaid.tokyo/movies/50977	
KANAMI⑤【MAID'S ROOM】	MAID'S ROOM KANAMI	https://bandmaid.tokyo/movies/53951	
AKANE⑤【MAID'S ROOM】	MAID'S ROOM AKANE	https://bandmaid.tokyo/movies/53842	
MISA⑥【MAID'S ROOM】	MAID'S ROOM MISA	https://bandmaid.tokyo/movies/53845	
MIKU KOBATO⑥【MAID'S ROOM】	MAID'S ROOM MIKU KOBATO	https://bandmaid.tokyo/movies/50978	
"After Life" Making Movie	BTS	https://bandmaid.tokyo/movies/53035	
MESSAGE FROM MIKU ⑨	MESSAGE FROM MIKU KOBATO	https://bandmaid.tokyo/movies/51316	
MESSAGE FROM SAIKI ⑨	MESSAGE FROM SAIKI	https://bandmaid.tokyo/movies/51616	
MESSAGE FROM MISA ⑨	MESSAGE FROM MISA	https://bandmaid.tokyo/movies/51313	
MESSAGE FROM AKANE ⑨	MESSAGE FROM AKANE	https://bandmaid.tokyo/movies/51610	
MESSAGE FROM KANAMI ⑨	MESSAGE FROM KANAMI	https://bandmaid.tokyo/movies/51613	
MESSAGE FROM MISA ⑧	MESSAGE FROM MISA	https://bandmaid.tokyo/movies/51314	
MESSAGE FROM AKANE ⑧	MESSAGE FROM AKANE	https://bandmaid.tokyo/movies/51608	
MESSAGE FROM MIKU ⑧	MESSAGE FROM MIKU KOBATO	https://bandmaid.tokyo/movies/51317	
MESSAGE FROM KANAMI ⑧	MESSAGE FROM KANAMI	https://bandmaid.tokyo/movies/51611	
MESSAGE FROM SAIKI ⑧	MESSAGE FROM SAIKI	https://bandmaid.tokyo/movies/51614	
MESSAGE FROM AKANE ⑦	MESSAGE FROM AKANE	https://bandmaid.tokyo/movies/51609	
MESSAGE FROM KANAMI ⑦	MESSAGE FROM KANAMI	https://bandmaid.tokyo/movies/51612	
MESSAGE FROM SAIKI ⑦	MESSAGE FROM SAIKI	https://bandmaid.tokyo/movies/51615	
"Warning!" Making Movie	BTS	https://bandmaid.tokyo/movies/52180	
MESSAGE FROM MISA ⑦	MESSAGE FROM MISA	https://bandmaid.tokyo/movies/51315	
"Manners" Making Movie	BTS	https://bandmaid.tokyo/movies/51468	
"Different" Making Movie	BTS	https://bandmaid.tokyo/movies/51459	
Unboxing ceremony of "Unseen World"	UNBOXING	https://bandmaid.tokyo/movies/51343	
MESSAGE FROM MIKU ⑦	MESSAGE FROM MIKU KOBATO	https://bandmaid.tokyo/movies/51318	
RADIO FOR OMEISYUSAMA④	RADIO FOR OMEISYUSAMA	https://bandmaid.tokyo/movies/50244	
Customary to exchange Christmas gifts　クリスマスプレゼント交換会　とって出し	HOLIDAY	https://bandmaid.tokyo/movies/50361	
RADIO FOR OMEISYUSAMA③	RADIO FOR OMEISYUSAMA	https://bandmaid.tokyo/movies/50243	
SAIKI⑤【MAID'S ROOM】	MAID'S ROOM SAIKI	https://bandmaid.tokyo/movies/45978	
#voice_bandmaid  MIKU KOBATO④	VOICE MESSAGE MIKU KOBATO	https://bandmaid.tokyo/movies/48483	
#voice_bandmaid  MISA④	VOICE MESSAGE MISA	https://bandmaid.tokyo/movies/48482	
#voice_bandmaid  KANAMI④	VOICE MESSAGE KANAMI	https://bandmaid.tokyo/movies/48481	
#voice_bandmaid  AKANE④	VOICE MESSAGE AKANE	https://bandmaid.tokyo/movies/48480	
#voice_bandmaid  SAIKI④	VOICE MESSAGE SAIKI	https://bandmaid.tokyo/movies/48478	
MISA⑤【MAID'S ROOM】	MAID'S ROOM MISA	https://bandmaid.tokyo/movies/45977	
#voice_bandmaid  AKANE③	VOICE MESSAGE AKANE	https://bandmaid.tokyo/movies/48479	
#voice_bandmaid  SAIKI③	VOICE MESSAGE SAIKI	https://bandmaid.tokyo/movies/44574	
#voice_bandmaid  MISA③	VOICE MESSAGE MISA	https://bandmaid.tokyo/movies/44572	
#voice_bandmaid  MIKU KOBATO③	VOICE MESSAGE MIKU KOBATO	https://bandmaid.tokyo/movies/44571	
#voice_bandmaid  KANAMI③	VOICE MESSAGE KANAMI	https://bandmaid.tokyo/movies/44570	
AKANE④【MAID'S ROOM】	MAID'S ROOM AKANE	https://bandmaid.tokyo/movies/44641	
MIKU KOBATO⑤【MAID'S ROOM】	MAID'S ROOM MIKU KOBATO	https://bandmaid.tokyo/movies/44568	
MESSAGE FROM AKANE ⑥	MESSAGE FROM AKANE	https://bandmaid.tokyo/movies/42755	
MESSAGE FROM SAIKI ⑥	MESSAGE FROM SAIKI	https://bandmaid.tokyo/movies/42754	
MESSAGE FROM MISA ⑥	MESSAGE FROM MISA	https://bandmaid.tokyo/movies/42713	
MESSAGE FROM KANAMI ⑥	MESSAGE FROM KANAMI	https://bandmaid.tokyo/movies/42605	
MESSAGE FROM MIKU ⑥	MESSAGE FROM MIKU KOBATO	https://bandmaid.tokyo/movies/42602	
KANAMI④【MAID'S ROOM】	MAID'S ROOM KANAMI	https://bandmaid.tokyo/movies/44575	
MESSAGE FROM AKANE ⑤	MESSAGE FROM AKANE	https://bandmaid.tokyo/movies/42757	
MESSAGE FROM MIKU ⑤	MESSAGE FROM MIKU KOBATO	https://bandmaid.tokyo/movies/42603	
MESSAGE FROM MISA ⑤	MESSAGE FROM MISA	https://bandmaid.tokyo/movies/42714	
MESSAGE FROM KANAMI ⑤	MESSAGE FROM KANAMI	https://bandmaid.tokyo/movies/42606	
SAIKI④【MAID'S ROOM】	MAID'S ROOM SAIKI	https://bandmaid.tokyo/movies/42351	
MESSAGE FROM SAIKI ⑤	MESSAGE FROM SAIKI	https://bandmaid.tokyo/movies/45993	
MESSAGE FROM SAIKI ④	MESSAGE FROM SAIKI	https://bandmaid.tokyo/movies/45992	
MESSAGE FROM KANAMI ④	MESSAGE FROM KANAMI	https://bandmaid.tokyo/movies/42600	
小鳩ミク④【MAID'S ROOM】	MAID'S ROOM MIKU KOBATO	https://bandmaid.tokyo/movies/42144	
MESSAGE FROM SAIKI③	MESSAGE FROM SAIKI	https://bandmaid.tokyo/movies/45662	
MISA④【MAID'S ROOM】	MAID'S ROOM MISA	https://bandmaid.tokyo/movies/44562	
AKANE③【MAID'S ROOM】	MAID'S ROOM AKANE	https://bandmaid.tokyo/movies/42146	
MESSAGE FROM MIKU ④	MESSAGE FROM MIKU KOBATO	https://bandmaid.tokyo/movies/40526	
#voice_bandmaid  SAIKI②	VOICE MESSAGE SAIKI	https://bandmaid.tokyo/movies/44567	
#voice_bandmaid  KANAMI②	VOICE MESSAGE KANAMI	https://bandmaid.tokyo/movies/44564	
#voice_bandmaid  MISA②	VOICE MESSAGE MISA	https://bandmaid.tokyo/movies/44566	
#voice_bandmaid  MIKU KOBATO②	VOICE MESSAGE MIKU KOBATO	https://bandmaid.tokyo/movies/44565	
#voice_bandmaid  AKANE②	VOICE MESSAGE AKANE	https://bandmaid.tokyo/movies/44563	
AKANE②【MAID'S ROOM】	MAID'S ROOM AKANE	https://bandmaid.tokyo/movies/40812	
MESSAGE FROM AKANE ④	MESSAGE FROM AKANE	https://bandmaid.tokyo/movies/42601	
KANAMI③【MAID'S ROOM】	MAID'S ROOM KANAMI	https://bandmaid.tokyo/movies/42143	
SAIKI③【MAID'S ROOM】	MAID'S ROOM SAIKI	https://bandmaid.tokyo/movies/42350	
小鳩ミク③【MAID'S ROOM】	MAID'S ROOM MIKU KOBATO	https://bandmaid.tokyo/movies/42145	
#voice_bandmaid  AKANE	VOICE MESSAGE AKANE	https://bandmaid.tokyo/movies/43816	
#voice_bandmaid  KANAMI	VOICE MESSAGE KANAMI	https://bandmaid.tokyo/movies/43815	
#voice_bandmaid  MIKU KOBATO	VOICE MESSAGE MIKU KOBATO	https://bandmaid.tokyo/movies/43814	
#voice_bandmaid  MISA	VOICE MESSAGE MISA	https://bandmaid.tokyo/movies/43813	
#voice_bandmaid  SAIKI	VOICE MESSAGE SAIKI	https://bandmaid.tokyo/movies/43734	
MESSAGE FROM MISA ③	MESSAGE FROM MISA	https://bandmaid.tokyo/movies/42972	
MISA③【MAID'S ROOM】	MAID'S ROOM MISA	https://bandmaid.tokyo/movies/42349	
MISA②【MAID'S ROOM】	MAID'S ROOM MISA	https://bandmaid.tokyo/movies/42348	
MESSAGE FROM KANAMI ③	MESSAGE FROM KANAMI	https://bandmaid.tokyo/movies/42604	
KANAMI②【MAID'S ROOM】	MAID'S ROOM KANAMI	https://bandmaid.tokyo/movies/40813	
RADIO FOR O-MEI-SYU-SAMA with ZOOM②	RADIO FOR OMEISYUSAMA	https://bandmaid.tokyo/movies/42347	
MESSAGE FROM MISA ④	MESSAGE FROM MISA	https://bandmaid.tokyo/movies/42346	
MIKU KOBATO②【MAID'S ROOM】	MAID'S ROOM MIKU KOBATO	https://bandmaid.tokyo/movies/40815	
SAIKI②【MAID'S ROOM】	MAID'S ROOM SAIKI	https://bandmaid.tokyo/movies/40814	
MESSAGE FROM AKANE ③	MESSAGE FROM AKANE	https://bandmaid.tokyo/movies/40523	
MESSAGE FROM KOBATO ③	MESSAGE FROM MIKU KOBATO	https://bandmaid.tokyo/movies/40525	
ENGLISH MESSAGE FROM KANAMI	MESSAGE FROM KANAMI	https://bandmaid.tokyo/movies/40524	
MESSAGE FROM MIKU ②	MESSAGE FROM MIKU KOBATO	https://bandmaid.tokyo/movies/40254	
MIKU KOBATO①【MAID'S ROOM】	MAID'S ROOM MIKU KOBATO	https://bandmaid.tokyo/movies/39976	
AKANE①【MAID'S ROOM】	MAID'S ROOM AKANE	https://bandmaid.tokyo/movies/40811	
MESSAGE FROM MISA ②	MESSAGE FROM MISA	https://bandmaid.tokyo/movies/40255	
BAND-MAID REMOTE LIVE TALK SHOW (on April 30, 2020)	RADIO FOR OMEISYUSAMA	https://bandmaid.tokyo/movies/40518	
MESSAGE FROM SAIKI ②	MESSAGE FROM SAIKI	https://bandmaid.tokyo/movies/40256	
KANAMI①【MAID'S ROOM】	MAID'S ROOM KANAMI	https://bandmaid.tokyo/movies/39977	
SAIKI①【MAID'S ROOM】	MAID'S ROOM SAIKI	https://bandmaid.tokyo/movies/39978	
MESSAGE FROM KANAMI ②	MESSAGE FROM KANAMI	https://bandmaid.tokyo/movies/40253	
MISA①【MAID'S ROOM】	MAID'S ROOM MISA	https://bandmaid.tokyo/movies/39875	
RADIO FOR O-MEI-SYU-SAMA with ZOOM①	RADIO FOR OMEISYUSAMA	https://bandmaid.tokyo/movies/39945	
MESSAGE FROM AKANE ②	MESSAGE FROM AKANE	https://bandmaid.tokyo/movies/39739	
MESSAGE FROM KANAMI ①	MESSAGE FROM KANAMI	https://bandmaid.tokyo/movies/39443	
MESSAGE FROM MIKU ①	MESSAGE FROM MIKU KOBATO	https://bandmaid.tokyo/movies/39442	
MESSAGE FROM MISA ①	MESSAGE FROM MISA	https://bandmaid.tokyo/movies/39441	
MESSAGE FROM SAIKI ①	MESSAGE FROM SAIKI	https://bandmaid.tokyo/movies/39440	
MESSAGE FROM AKANE ①	MESSAGE FROM AKANE	https://bandmaid.tokyo/movies/39444	
BAND-MAID LIVE BROADCAST (Edit ver.)	RADIO FOR OMEISYUSAMA	https://bandmaid.tokyo/movies/39016	
Trailer of "ZEPP TOUR" "Blu-ray/DVD" "NIPPON BUDOKAN"	BTS	https://bandmaid.tokyo/movies/39017	
「The Dragon Cries」 Making Video	BTS	https://bandmaid.tokyo/movies/38729	
12/22/2019  BAND-MAID KYOTO	LIVE	https://bandmaid.tokyo/movies/36523	
Photographer AKANE	BTS	https://bandmaid.tokyo/movies/36524	
MISA's  NEW BASS!!	MESSAGE FROM MISA	https://bandmaid.tokyo/movies/35464	
"CONQUEROR" RELEASE PROMOTION	GOOFING OFF	https://bandmaid.tokyo/movies/35463	
輪廻 Making Movie	BTS	https://bandmaid.tokyo/movies/34561	
OMAJINAI TIME (MAGIC SPELL TIME) Oct 20, 2019	OMAJINAI TIME	https://bandmaid.tokyo/movies/34133	
OMAJINAI TIME (MAGIC SPELL TIME) Oct 14, 2019	OMAJINAI TIME	https://bandmaid.tokyo/movies/34132	
MISA and BEER in USA	LIVE	https://bandmaid.tokyo/movies/34131	
Body Percussion	GOOFING OFF	https://bandmaid.tokyo/movies/34130	
endless Story  Making Movie	BTS	https://bandmaid.tokyo/movies/32068	
Dancing by AKANE & SAIKI	DANCING	https://bandmaid.tokyo/movies/29867	
BAND-MAIKO MAKING VIDEO (other ver.) day2	BTS	https://bandmaid.tokyo/movies/28751	
BAND-MAIKO MAKING VIDEO (other ver.) day1	BTS	https://bandmaid.tokyo/movies/28606	
Smile (Unplugged)  March 9, 2019	LIVE	https://bandmaid.tokyo/movies/27475	
BAND-MAID "Musical chairs"	GOOFING OFF	https://bandmaid.tokyo/movies/26179	
OMAJINAI TIME　"MAGIC SPELL TIME" at STUDIO COAST	OMAJINAI TIME	https://bandmaid.tokyo/movies/26180	
「Bubble Making ver.」	BTS	https://bandmaid.tokyo/movies/26036	
BAND-MAID Vocal Percussion	GOOFING OFF	https://bandmaid.tokyo/movies/25553	
KUMAMOTO SURPRISE	DANCING	https://bandmaid.tokyo/movies/25711	
MISAバースデーカラオケ（声でお楽しみください。）	GOOFING OFF	https://bandmaid.tokyo/movies/24078	
無我夢中	GOOFING OFF	https://bandmaid.tokyo/movies/23823	
大阪名物	OMAJINAI TIME	https://bandmaid.tokyo/movies/23784	
スペシャルおまじないタイム	OMAJINAI TIME	https://bandmaid.tokyo/movies/23715	
ROCK IN JAPAN FES. 2018　出演サプライズ発表！	BTS	https://bandmaid.tokyo/movies/23714	
ARABAKI裏の歓喜	GOOFING OFF	https://bandmaid.tokyo/movies/23713	
「start over」開封の儀	UNBOXING	https://bandmaid.tokyo/movies/22609	
KANAMIからお盟主様へ	MESSAGE FROM KANAMI	https://bandmaid.tokyo/movies/22452	
Welcome to お盟主様の会	MESSAGE FROM MIKU KOBATO	https://bandmaid.tokyo/movies/22353	
