# BAND-MAID releases snapshot date: 2025-10-16
Name	Work	Type	URL	Description	Media	Bonus Media	Bonus Desc	Publisher	ReleaseDate
BAND-MAID ONLINE OKYU-JI (Feb. 11, 2021) (One-time-only pressing) Blu-ray(x2) + CD	BAND-MAID ONLINE OKYU-JI (Feb. 11, 2021)	Live Video	https://bandmaidshop.com/products/band-maid-online-okyu-ji-feb-11-2021-blu-ray-regular-edition	BAND-MAID ONLINE OKYU-JI (Feb. 11, 2021) (One-time-only pressing) Blu-ray(x2) + CD	Blu-ray	Blu-ray	OKYU-JI（LIVE）Footage Recorded Exclusively for Blu-ray/DVD] 29. Moratorium 30. the non-fiction days 31. glory 32. Play 33. Smile (Acoustic Ver.)  5 Multi Cam Recorded Footages (Fixed cam on each members) 1. Warning! 2. NO GOD 3. Manners 4. After Life 5. Gi	Pony Canyon	2021-05-26
Sense (CD+DVD)	Sense	Single	https://www.cdjapan.co.jp/product/PCCA-6077	Sense [w/ DVD, Limited Edition]	CD+DVD	DVD	THE DAY OF MAID Okyu-ji (2021.5.10) (6 songs) Chemical Reaction H-G-K Honkai I Still Seek Revenge Why Why Why Youth	Pony Canyon	2021-10-27
BAND-MAID ONLINE OKYU-JI 5 "THE DAY OF MAID" (Blu-ray/DVD}	BAND-MAID ONLINE OKYU-JI 5 "THE DAY OF MAID"	Live Video		BAND-MAID ONLINE OKYU-JI 5 "THE DAY OF MAID" Blu-ray/DVD	DVD			Pony Canyon	2021-10-27
Sense (CD+Blu-ray)	Sense	Single	https://www.cdjapan.co.jp/product/PCCA-6076	Sense [w/ Blu-ray, Limited Edition]	CD+Blu-ray	Blu-ray	THE DAY OF MAID Okyu-ji (2021.5.10) (6 songs) Chemical Reaction H-G-K Honkai I Still Seek Revenge Why Why Why Youth	Pony Canyon	2021-10-27
Sense	Sense	Single	https://bandmaidshop.com/products/band-maid-sense-normal-edition-cd-only	BAND-MAID - Sense - Normal Edition [CD ONLY]	CD			Pony Canyon	2021-10-27
Brand New MAID vinyl	New Beginning	Album	https://bandmaidshop.com/products/band-maid-brand-new-maid-vinyl-lp-limited-edition	BAND-MAID Brand New MAID (VINYL LP) [Limited Edition]	Vinyl			Nippon Crown	2021-11-03
New Beginning vinyl	New Beginning	Album	https://bandmaidshop.com/products/band-maid-new-beginning-vinyl-lp-limited-edition	BAND-MAID New Beginning (VINYL LP) [Limited Edition]	Vinyl			Nippon Crown	2021-11-03
WORLD DOMINATION vinyl	WORLD DOMINATION	Album	https://bandmaidshop.com/products/band-maid-world-domination-vinyl-2lp-limited-edition	BAND-MAID WORLD DOMINATION (VINYL 2LP) [Limited Edition]	Vinyl x 2			Nippon Crown	2021-11-03
CONQUEROR vinyl	CONQUEROR	Album	https://bandmaidshop.com/products/band-maid-conqueror-vinyl-2lp-limited-edition	BAND-MAID CONQUEROR (VINYL 2LP) [Limited Edition]	Vinyl x 2			Nippon Crown	2021-11-03
Just Bring It vinyl	Just Bring It	Album	https://bandmaidshop.com/products/band-maid-just-bring-it-vinyl-2lp-limited-edition	BAND-MAID Just Bring It (VINYL 2LP) [Limited Edition]	Vinyl x 2			Nippon Crown	2021-11-03
BAND-MAID Official Score for Unseen World	Unseen World instrumental	Instrumental Album	https://www.cdjapan.co.jp/product/NEODAI-119637	BAND-MAID Official Scorebook for Unseen World [Pony Canyon Shopping Club Exclusive]	CD	Book	Official Scorebook for Unseen World	Pony Canyon	2022-03-09
BAND-MAID ONLINE ACOUSTIC OKYU-JI CD	BAND-MAID ONLINE ACOUSTIC OKYU-JI	Live Album	https://bandmaid.tokyo/products	BAND-MAID ONLINE ACOUSTIC OKYU-JI CD	CD			Pony Canyon	2022-04-27
Unleash  (CD+DVD)	Unleash	EP	https://www.cdjapan.co.jp/product/PCCA-6154	BAND-MAID "Unleash" Limited Edition (CD+DVD)	CD+DVD	DVD	Unleash!!!!! (music video) from now on (music video) Unleash!!!!! (instrumental music video) Sense (instrumental music video)	Pony Canyon	2022-09-21
Unleash	Unleash	EP	https://bandmaidshop.com/products/band-maid-unleash-normal-edition-cd-only	BAND-MAID "Unleash" Normal Edition (CD Only)	CD			Pony Canyon	2022-09-21
Unleash (CD+Blu-ray)	Unleash	EP	https://bandmaidshop.com/products/band-maid-unleash-limited-edition-cd-blu-ray	BAND-MAID "Unleash" Limited Edition (CD+Blu-ray)	CD+Blu-ray	Blu-ray	Unleash!!!!! (music video) from now on (music video) Unleash!!!!! (instrumental music video) Sense (instrumental music video)	Pony Canyon	2022-09-21
BAND-MAID TOKYO GARDEN THEATER OKYUJI (Jan.09,2023) [Limited Edition]	BAND-MAID TOKYO GARDEN THEATER OKYUJI (Jan. 9, 2023)	Live Video	https://www.cdjapan.co.jp/product/PCXP-50979?s_ssid=e3635864305bd1ebf9	BAND-MAID TOKYO GARDEN THEATER OKYUJI (Jan.09,2023) [2 Blu-ray + PHOTOBOOK] ONE-TIME-ONLY PRESSING	Blu-ray x 2	Blu-ray	[Blu-ray Disc-2] "BAND-MAID U.S. Tour 2022 BEHIND-THE SCENES" DOCUMENTARY VIDEO 90 MINUTES, PHOTOBOOK 100 Pages	Pony Canyon	2023-04-26
BAND-MAID TOKYO GARDEN THEATER OKYUJI (Jan.09,2023) [Regular Edition DVD]	BAND-MAID TOKYO GARDEN THEATER OKYUJI (Jan. 9, 2023)	Live Video	https://www.cdjapan.co.jp/product/PCBP-55597	BAND-MAID TOKYO GARDEN THEATER OKYUJI (Jan. 9, 2023) [DVD] REGULAR EDITION	DVD			Pony Canyon	2023-04-26
BAND-MAID TOKYO GARDEN THEATER OKYUJI (Jan.09,2023) [Regular Edition Blu-ray]	BAND-MAID TOKYO GARDEN THEATER OKYUJI (Jan. 9, 2023)	Live Video	https://www.cdjapan.co.jp/product/PCXP-50980	BAND-MAID TOKYO GARDEN THEATER OKYUJI (Jan. 9, 2023) [Blu-ray] REGULAR EDITION	Blu-ray			Pony Canyon	2023-04-26
BAND-MAID - 10th Anniversary Best Vol.1 CD	BAND-MAID - 10th Anniversary Best Vol.1 CD	Album	https://bandmaidshop.com/products/band-maid-10th-anniversary-best-vol-1	BAND-MAID - 10th Anniversary Best Vol.1 CD	CD			Crown Stones	2023-08-02
BAND-MAID - 10th Anniversary Best Vol.2 CD	BAND-MAID - 10th Anniversary Best Vol.2 CD	Album	https://bandmaidshop.com/products/band-maid-10th-anniversary-best-vol-2-cd	BAND-MAID - 10th Anniversary Best Vol.2 CD	CD			Crown Stones	2023-08-02
BAND-MAID 10TH ANNIVERSARY TOUR FINAL in YOKOHAMA ARENA (Nov.26, 2023) [DVD] Regular Edition	BAND-MAID 10TH ANNIVERSARY TOUR FINAL in YOKOHAMA ARENA	Live Video	https://bandmaidshop.com/products/band-maid-10th-anniversary-tour-final-in-yokohama-arena-nov-26-2023-dvd-regular-edition	BAND-MAID 10TH ANNIVERSARY TOUR FINAL in YOKOHAMA ARENA (Nov.26, 2023) [DVD] Regular Edition	DVD			Pony Canyon	2024-03-27
BAND-MAID 10TH ANNIVERSARY TOUR FINAL in YOKOHAMA ARENA (Nov.26, 2023) [Blu-ray] Regular Edition	BAND-MAID 10TH ANNIVERSARY TOUR FINAL in YOKOHAMA ARENA	Live Album	https://bandmaidshop.com/products/band-maid-10th-anniversary-tour-final-in-yokohama-arena-nov-26-2023-blu-ray-regular-edition	BAND-MAID 10TH ANNIVERSARY TOUR FINAL in YOKOHAMA ARENA (Nov.26, 2023) [Blu-ray] Regular Edition	Blu-ray			Pony Canyon	2024-03-27
BAND-MAID 10TH ANNIVERSARY TOUR FINAL in YOKOHAMA ARENA (Nov.26, 2023) [2 Blu-ray + PHOTOBOOK]	BAND-MAID 10TH ANNIVERSARY TOUR FINAL in YOKOHAMA ARENA	Live Video	https://bandmaidshop.com/products/band-maid-10th-anniversary-tour-final-in-yokohama-arena-nov-26-2023-2-blu-ray-photobook-one-time-only-pressing	BAND-MAID 10TH ANNIVERSARY TOUR FINAL in YOKOHAMA ARENA (Nov.26, 2023) [2 Blu-ray + PHOTOBOOK] ONE-TIME-ONLY PRESSING	Blu-ray x 2	Blu-ray	BTS documentary	Pony Canyon	2024-03-27
Epic Narratives (CD + Blu-ray + PHOTO BOOK)	Epic Narratives	Album	https://bandmaidshop.com/products/band-maid-epic-narratives-limited-edition-cd-blu-ray-photo-book	BAND-MAID "Epic Narratives" Limited Edition (CD + Blu-ray + PHOTO BOOK)	CD+Blu-ray	Blu-ray	Day of Maid Live 2024	Pony Canyon	2024-09-25
Epic Narratives (CD + DVD)	Epic Narratives	Album	https://bandmaidshop.com/products/band-maid-epic-narratives-limited-edition-first-pressing-only-cd-dvd	BAND-MAID "Epic Narratives" Limited Edition (First Pressing Only) (CD + DVD)	CD+DVD	DVD	Day of Maid Live 2024	Pony Canyon	2024-09-25
Epic Narratives	Epic Narratives	Album	https://bandmaidshop.com/products/band-maid-epic-narratives-regular-edition-cd	BAND-MAID "Epic Narratives" Regular Edition (CD)	CD			Pony Canyon	2024-09-25
BAND-MAID ACOUSTIC OKYUJI (2024)	BAND-MAID ACOUSTIC OKYUJI (2024)	Live Album	https://bandmaid.tokyo/contents/news/news	BAND-MAID ACOUSTIC OKYUJI live from March 20, 2024	CD				2024-12-25
SCOOOOOP (CD + Blu-ray + Poster Style Booklet)	SCOOOOOP	EP	https://ampedjapan.com/products/band-maid-scooooop-limited-edition-cd-blu-ray-poster-style-booklet-special-packaging	BAND-MAID "SCOOOOOP" Limited Edition (CD + Blu-ray + Poster Style Booklet) (Special Packaging)	CD+Blu-ray	Blu-ray	Zen (Instrumental Video), Ready to Rock (Instrumental Video), What is justice? (Instrumental Video)	Pony Canyon	2025-10-22
SCOOOOOP (CD + DVD)	SCOOOOOP	EP	https://ampedjapan.com/products/band-maid-scooooop-limited-edition-cd-dvd	BAND-MAID "SCOOOOOP" Limited Edition (CD + DVD)	CD+DVD	DVD	Zen (Instrumental Video), Ready to Rock (Instrumental Video), What is justice? (Instrumental Video)	Pony Canyon	2025-10-22
SCOOOOOP	SCOOOOOP	EP	https://ampedjapan.com/products/band-maid-scooooop-regular-edition-cd	BAND-MAID "SCOOOOOP" Regular Edition (CD)	CD			Pony Canyon	2025-10-22
